Zoning,LotArea,LotShape,LandContour,Neighborhood,BldgType,YearRemodel,ExterCond,Foundation,CentralAir,TotRmsAbvGrd,Fireplaces,GarageCars,TotalFullBath,TotalHalfBath,SaleCondition,HouseAge,ConstArea,QIndex,Price_sqft,log(SalePrice),SalePrice
RL,11478,Reg,Lvl,NridgHt,1Fam,2008,TA,PConc,Y,7,1,3.0,3.0,0.0,Normal,3,3408.0,40,89.78873239436619,12.631340380934517,306000
RL,10159,IR1,Lvl,NridgHt,1Fam,2010,TA,PConc,Y,8,1,3.0,3.0,1.0,Partial,1,3870.0,45,102.11679586563308,12.88712700173598,395192
RL,12883,IR1,Lvl,NridgHt,1Fam,2010,TA,PConc,Y,7,0,3.0,2.0,0.0,Partial,1,3088.0,40,94.2166450777202,12.58087577645635,290941
RL,12182,Reg,Lvl,NridgHt,1Fam,2005,TA,PConc,Y,7,1,2.0,2.0,0.0,Partial,5,3082.0,35,71.38221933809214,12.301382825334498,220000
RL,11520,Reg,Lvl,NridgHt,1Fam,2005,TA,PConc,Y,7,1,3.0,2.0,0.0,Normal,5,3396.0,45,80.97762073027091,12.524526376648708,275000
RL,14122,IR1,Lvl,NridgHt,1Fam,2006,TA,PConc,Y,8,1,3.0,2.0,0.0,Normal,5,3644.0,40,71.07574094401757,12.464583340681674,259000
RL,10171,IR1,Lvl,NridgHt,1Fam,2004,TA,PConc,Y,7,0,2.0,2.0,0.0,Normal,6,3052.0,35,70.11795543905636,12.273731294003989,214000
RL,6371,IR1,Lvl,NridgHt,TwnhsE,2010,TA,PConc,Y,6,1,2.0,3.0,0.0,Partial,1,2716.0,35,82.47422680412372,12.319401330837177,224000
RL,14300,Reg,HLS,NridgHt,1Fam,2004,TA,PConc,Y,10,2,3.0,3.0,1.0,Normal,7,5542.0,45,90.22013713460845,13.122363377404328,500000
RL,13650,Reg,Lvl,NridgHt,1Fam,2002,TA,PConc,Y,7,1,3.0,3.0,1.0,Normal,8,3921.0,40,81.6118337158888,12.676076274775909,320000
RL,7658,Reg,Lvl,NridgHt,TwnhsE,2005,TA,PConc,Y,6,1,2.0,3.0,0.0,Normal,5,3504.0,45,91.29566210045662,12.675763725937609,319900
RL,7132,IR1,Lvl,NridgHt,TwnhsE,2006,TA,PConc,Y,6,1,2.0,2.0,0.0,Normal,4,2740.0,40,74.81751824817518,12.230765258120545,205000
RL,2628,Reg,Lvl,NridgHt,Twnhs,2003,TA,PConc,Y,6,0,2.0,2.0,1.0,Normal,7,2390.0,35,73.43096234309624,12.075394321888057,175500
RL,18494,IR1,Lvl,Gilbert,1Fam,2005,TA,PConc,Y,6,0,2.0,2.0,0.0,Normal,5,2648.0,30,75.33987915407855,12.203569515312056,199500
RL,13300,IR1,Lvl,Gilbert,1Fam,2004,TA,PConc,Y,7,1,2.0,3.0,1.0,Normal,6,1758.0,35,104.94880546075085,12.125404742462718,184500
RL,7851,Reg,Lvl,Gilbert,1Fam,2002,TA,PConc,Y,8,2,2.0,3.0,1.0,Normal,8,2820.0,30,76.77304964539007,12.285345826424681,216500
RL,8577,IR1,Lvl,Gilbert,1Fam,2004,TA,PConc,Y,7,1,2.0,2.0,1.0,Normal,6,2580.0,35,71.73953488372094,12.128586666638327,185088
RL,7750,IR1,Lvl,Gilbert,1Fam,2000,TA,PConc,Y,7,1,2.0,2.0,1.0,Normal,10,1814.0,35,99.22822491730982,12.100712129872347,180000
RL,9505,IR1,Lvl,Gilbert,1Fam,2001,TA,PConc,Y,8,1,2.0,2.0,1.0,Normal,9,2919.0,35,76.2247344981158,12.312682380588432,222500
RL,14774,IR1,Lvl,NoRidge,1Fam,1999,TA,PConc,Y,10,1,3.0,2.0,1.0,Normal,11,3992.0,45,83.45891783567134,12.716402146247475,333168
RL,10593,IR1,Lvl,NoRidge,1Fam,1996,TA,PConc,Y,7,1,2.0,3.0,0.0,Normal,14,3440.0,35,75.69767441860465,12.46997418931655,260400
RL,12256,IR1,Lvl,NoRidge,1Fam,1995,TA,PConc,Y,9,2,2.0,3.0,1.0,Normal,16,4085.0,40,79.5593635250918,12.691580461311874,325000
RL,11764,IR1,Lvl,NoRidge,1Fam,2007,TA,PConc,Y,9,1,3.0,2.0,1.0,Normal,11,3422.0,56,84.7457627118644,12.577636201962656,290000
RL,14720,IR1,Lvl,NoRidge,1Fam,1996,TA,PConc,Y,9,1,3.0,3.0,1.0,Normal,15,5271.0,40,77.78410168848416,12.92391243868049,410000
RL,8987,Reg,Lvl,Somerst,1Fam,2006,TA,PConc,Y,6,1,3.0,2.0,0.0,Normal,5,3190.0,40,69.43573667711598,12.308177868467327,221500
FV,9215,Reg,Lvl,Somerst,1Fam,2010,TA,PConc,Y,4,0,2.0,2.0,0.0,Partial,1,2436.0,35,83.94909688013136,12.228323254464993,204500
FV,9000,Reg,Lvl,Somerst,1Fam,2008,TA,PConc,Y,7,0,2.0,3.0,0.0,Normal,2,3132.0,40,83.81226053639847,12.478006361013815,262500
FV,12552,Reg,Lvl,Somerst,1Fam,2005,TA,PConc,Y,8,1,2.0,2.0,1.0,Normal,6,2938.0,35,86.75970047651464,12.448626590364206,254900
FV,10440,Reg,Lvl,Somerst,1Fam,2005,TA,PConc,Y,6,1,2.0,3.0,0.0,Normal,5,2936.0,30,92.47275204359673,12.511717418356127,271500
RL,10142,IR1,Lvl,SawyerW,1Fam,2004,TA,PConc,Y,8,0,2.0,3.0,1.0,Normal,6,3040.0,35,76.64473684210526,12.358793732547838,233000
RL,11920,Reg,Lvl,SawyerW,1Fam,2004,TA,PConc,Y,8,0,2.0,2.0,1.0,Normal,6,2490.0,35,72.69076305220884,12.106252310247962,181000
RL,8880,IR1,Lvl,SawyerW,1Fam,2002,TA,PConc,Y,8,2,2.0,3.0,1.0,Normal,16,3058.0,35,67.0372792674951,12.230765258120545,205000
RL,8012,Reg,Lvl,SawyerW,TwnhsE,1980,TA,CBlock,Y,5,1,1.0,2.0,0.0,Normal,30,1846.0,30,77.46478873239437,11.870599909242044,143000
RL,11218,Reg,Lvl,SawyerW,1Fam,1992,TA,PConc,Y,8,1,2.0,2.0,1.0,Normal,18,2900.0,30,65.17241379310344,12.14950229404178,189000
RL,7892,Reg,Lvl,SawyerW,TwnhsE,1979,TA,CBlock,Y,5,1,1.0,2.0,0.0,Normal,31,1836.0,30,54.19389978213508,11.507912923146684,99500
RL,7175,Reg,Lvl,SawyerW,TwnhsE,1984,TA,CBlock,Y,4,0,1.0,2.0,0.0,Normal,26,1496.0,30,83.55614973262033,11.736069016284437,125000
RL,9672,Reg,Lvl,SawyerW,1Fam,1985,TA,PConc,Y,6,0,2.0,2.0,0.0,Normal,26,2137.0,30,71.127749181095,11.931635799828413,152000
RL,8400,Reg,Lvl,SawyerW,1Fam,1981,TA,CBlock,Y,7,1,2.0,2.0,1.0,Normal,30,2214.0,36,77.23577235772358,12.049418835484797,171000
RL,11782,IR1,Lvl,Sawyer,1Fam,1995,TA,CBlock,Y,6,0,2.0,2.0,0.0,Normal,49,2264.0,35,65.37102473498233,11.904967552746252,148000
RL,9819,IR1,Lvl,Sawyer,1Fam,1967,Gd,CBlock,Y,5,0,1.0,1.0,0.0,Normal,43,1782.0,25,68.46240179573513,11.711776323715394,122000
RL,7500,Reg,Lvl,Sawyer,1Fam,1963,TA,CBlock,Y,5,0,1.0,2.0,1.0,Normal,47,2080.0,25,63.94230769230769,11.79810440720389,133000
RL,6897,IR1,Lvl,Sawyer,1Fam,2010,Gd,CBlock,Y,6,0,1.0,2.0,1.0,Normal,48,2080.0,40,61.05769230769231,11.751942365440728,127000
RL,10186,IR1,Lvl,NoRidge,1Fam,1992,TA,PConc,Y,8,1,2.0,3.0,1.0,Normal,18,2673.0,35,71.0811821922933,12.154779351142624,190000
RL,11134,Reg,Lvl,NoRidge,1Fam,1993,TA,PConc,Y,7,1,3.0,3.0,1.0,Normal,18,3615.0,40,78.83817427385893,12.560244459250788,285000
FV,4835,IR1,Lvl,Somerst,TwnhsE,2005,TA,PConc,Y,6,1,2.0,3.0,0.0,Normal,6,2976.0,35,87.36559139784946,12.468436909997665,260000
FV,3515,Reg,Lvl,Somerst,TwnhsE,2004,TA,PConc,Y,3,0,2.0,2.0,1.0,Normal,6,2520.0,35,75.39682539682539,12.154779351142624,190000
FV,3182,Reg,Lvl,Somerst,TwnhsE,2005,TA,PConc,Y,4,0,2.0,2.0,1.0,Normal,6,1800.0,35,83.88888888888889,11.925035115797062,151000
FV,2544,Reg,Lvl,Somerst,Twnhs,2005,TA,PConc,Y,4,0,2.0,3.0,1.0,Normal,6,1800.0,35,83.05555555555556,11.915051671812877,149500
FV,2544,Reg,Lvl,Somerst,Twnhs,2005,TA,PConc,Y,4,0,2.0,3.0,1.0,Normal,5,1836.0,30,82.78867102396514,11.931635799828413,152000
FV,2117,Reg,Lvl,Somerst,Twnhs,2000,TA,PConc,Y,5,0,2.0,2.0,1.0,Normal,10,2329.0,30,76.21296693860026,12.086725887897607,177500
FV,2980,Reg,Lvl,Somerst,TwnhsE,2000,TA,PConc,Y,5,0,2.0,3.0,1.0,Normal,10,2268.0,30,78.04232804232804,12.083905011555967,177000
FV,2572,Reg,Lvl,Somerst,Twnhs,1999,TA,PConc,Y,6,0,2.0,3.0,1.0,Normal,11,2112.0,35,73.39015151515152,11.951180395901384,155000
FV,2403,IR1,Lvl,Somerst,TwnhsE,2003,TA,PConc,Y,4,0,2.0,2.0,1.0,Normal,7,1610.0,35,91.37267080745342,11.898935885244258,147110
FV,7379,IR1,Lvl,Somerst,1Fam,2000,TA,PConc,Y,7,1,2.0,3.0,1.0,Normal,10,2823.0,40,89.9752036840241,12.445089546000673,254000
FV,8000,Reg,Lvl,Somerst,1Fam,2002,TA,PConc,Y,6,1,2.0,3.0,0.0,Normal,8,2984.0,35,77.07774798927613,12.345834587905333,230000
RL,10456,IR1,Lvl,NWAmes,1Fam,1967,TA,CBlock,Y,8,0,2.0,3.0,0.0,Normal,43,3658.0,36,59.732094040459266,12.294541293517781,218500
RL,10791,Reg,Lvl,NWAmes,1Fam,1993,TA,PConc,Y,9,1,2.0,3.0,1.0,Normal,17,3775.0,30,64.50331125827815,12.402872221504781,243500
RL,10603,IR1,Lvl,NWAmes,1Fam,2001,TA,PConc,Y,6,2,2.0,3.0,0.0,Normal,33,3220.0,42,63.66459627329193,12.230765258120545,205000
RL,18837,IR1,Lvl,NWAmes,1Fam,1978,TA,PConc,Y,7,1,2.0,3.0,1.0,Normal,32,3115.0,30,68.2182985553772,12.266697267346608,212500
RL,10421,Reg,Lvl,NWAmes,1Fam,1988,TA,CBlock,Y,7,1,2.0,2.0,1.0,Normal,22,2694.0,35,72.93986636971047,12.188417710291453,196500
RL,9360,Reg,Lvl,NWAmes,1Fam,2006,TA,CBlock,Y,5,1,2.0,2.0,1.0,Normal,38,2542.0,42,77.69472856018882,12.193493863323313,197500
RL,9600,Reg,Lvl,NWAmes,1Fam,1971,TA,CBlock,Y,7,0,2.0,1.0,2.0,Normal,39,2360.0,36,72.45762711864407,12.049418835484797,171000
RL,9600,Reg,Lvl,NAmes,1Fam,1966,TA,CBlock,Y,6,0,2.0,2.0,1.0,Normal,44,2464.0,25,57.73133116883117,11.865341351988578,142250
RL,9790,Reg,Lvl,NWAmes,1Fam,1963,TA,CBlock,Y,6,2,2.0,2.0,1.0,Normal,47,2656.0,30,53.84036144578313,11.870599909242044,143000
RL,9320,IR1,Lvl,NAmes,1Fam,1959,TA,CBlock,Y,6,0,0.0,2.0,1.0,Normal,51,2175.0,20,59.28735632183908,11.76718001130949,128950
RL,9680,Reg,Lvl,NAmes,1Fam,1967,TA,CBlock,Y,6,0,2.0,3.0,0.0,Normal,43,3020.0,30,59.23841059602649,12.09458226949681,178900
RL,14112,IR1,Lvl,NAmes,1Fam,1964,TA,PConc,Y,6,1,2.0,2.0,0.0,Normal,46,2304.0,35,78.34201388888889,12.103486056755072,180500
RL,8800,Reg,Lvl,NAmes,1Fam,1963,Gd,PConc,Y,6,0,2.0,2.0,0.0,Abnorml,47,1990.0,42,69.09547738693468,11.831379196088763,137500
RL,9717,Reg,Lvl,NAmes,1Fam,1996,TA,CBlock,Y,5,0,1.0,2.0,0.0,Normal,60,2156.0,30,65.92068645640074,11.864462231052837,142125
RL,9724,Reg,Lvl,NAmes,1Fam,2002,TA,CBlock,Y,7,2,2.0,2.0,0.0,Normal,58,3601.0,35,54.87364620938628,12.194000064295905,197600
RL,17360,Reg,Lvl,NAmes,1Fam,1950,Gd,CBlock,Y,6,1,2.0,2.0,0.0,Normal,61,2338.0,36,73.78100940975193,12.058152515453552,172500
RL,7207,IR1,Lvl,BrkSide,1Fam,2008,Gd,CBlock,Y,4,0,0.0,2.0,0.0,Normal,52,1716.0,35,67.89044289044288,11.665646551987892,116500
RL,9920,Reg,Lvl,NAmes,1Fam,1954,TA,CBlock,Y,6,0,1.0,2.0,0.0,Normal,56,2119.0,25,60.40585181689476,11.759785542901755,128000
RL,9600,Reg,Lvl,NAmes,1Fam,1972,TA,CBlock,Y,7,2,1.0,2.0,0.0,Normal,55,2676.0,36,57.17488789237668,11.938193200374572,153000
RL,7800,Reg,Lvl,NAmes,1Fam,1954,TA,PConc,Y,7,1,1.0,1.0,0.0,Normal,56,2536.0,30,52.05047318611987,11.790557201568507,132000
RL,11380,IR1,Lvl,NAmes,1Fam,2008,TA,CBlock,Y,5,1,1.0,2.0,0.0,Normal,44,2208.0,48,80.6159420289855,12.089538829274222,178000
RL,11600,Reg,Lvl,NAmes,Duplex,1960,TA,CBlock,Y,12,0,2.0,2.0,0.0,Normal,50,3379.0,25,45.66439775081385,11.946654038351252,154300
RL,8267,Reg,Lvl,NAmes,Duplex,1958,TA,CBlock,Y,8,0,2.0,2.0,0.0,Normal,52,3208.0,25,42.082294264339154,11.813030057420567,135000
RL,8197,Reg,Lvl,NAmes,1Fam,2009,TA,PConc,Y,7,0,2.0,3.0,0.0,Normal,7,2960.0,35,72.29729729729729,12.273731294003989,214000
RL,8050,IR1,Lvl,NAmes,1Fam,1959,TA,CBlock,Y,6,0,1.0,2.0,0.0,Normal,51,2286.0,25,59.492563429571305,11.820410164718188,136000
RL,10552,IR1,Lvl,NAmes,1Fam,1959,TA,CBlock,Y,6,1,2.0,1.0,2.0,Normal,51,3098.0,25,53.42156229825694,12.016726473799254,165500
RL,8400,Reg,Lvl,NAmes,1Fam,1957,Gd,CBlock,Y,5,0,1.0,2.0,0.0,Normal,53,2628.0,30,55.17503805175038,11.884489021402711,145000
RL,8760,Reg,Lvl,NAmes,1Fam,1959,TA,CBlock,Y,6,0,1.0,2.0,0.0,Normal,51,2388.0,36,61.97654941373534,11.904967552746252,148000
RL,12160,IR1,Lvl,NAmes,1Fam,1959,TA,CBlock,Y,6,0,2.0,2.0,0.0,Abnorml,51,2376.0,25,59.764309764309765,11.863582336583399,142000
RL,9300,Reg,Lvl,NAmes,1Fam,1960,TA,CBlock,Y,6,2,2.0,2.0,0.0,Normal,50,2532.0,25,66.15323854660348,12.028738630247258,167500
RL,10725,IR1,Lvl,NAmes,1Fam,1959,TA,CBlock,Y,6,0,1.0,1.0,0.0,Normal,51,2412.0,25,44.99917081260365,11.594855621061042,108538
RL,10032,Reg,Lvl,NAmes,1Fam,1959,TA,CBlock,Y,6,2,2.0,2.0,1.0,Normal,51,2824.0,30,56.48016997167139,11.979799201207037,159500
RL,8382,Reg,Lvl,NAmes,1Fam,1956,TA,CBlock,Y,5,0,1.0,1.0,0.0,Normal,54,2169.0,20,49.79253112033195,11.589886506106357,108000
RL,10950,Reg,Lvl,NAmes,1Fam,1952,TA,CBlock,Y,4,0,1.0,1.0,1.0,Normal,58,1928.0,35,70.02074688796681,11.813030057420567,135000
RL,10895,Reg,Lvl,NAmes,1Fam,1955,Gd,CBlock,Y,5,0,1.0,1.0,0.0,Normal,55,1944.0,30,63.01440329218107,11.715866308966918,122500
RL,7922,Reg,Lvl,NAmes,1Fam,2007,Gd,CBlock,Y,5,0,1.0,2.0,0.0,Abnorml,57,2114.0,35,51.561021759697255,11.59910316121128,109000
RL,7898,Reg,Lvl,NAmes,1Fam,1994,TA,BrkTil,Y,4,0,2.0,1.0,1.0,Normal,90,1561.0,28,67.26457399103138,11.56171562913966,105000
RL,10200,Reg,Lvl,NAmes,1Fam,2003,TA,CBlock,Y,6,0,2.0,2.0,0.0,Normal,56,2172.0,35,66.71270718232044,11.883799128308773,144900
RL,5868,Reg,Lvl,NAmes,1Fam,2000,TA,CBlock,Y,4,0,1.0,2.0,0.0,Normal,54,1872.0,35,68.91025641025641,11.76756768334381,129000
RL,17503,Reg,Lvl,NAmes,1Fam,1950,TA,CBlock,Y,6,1,1.0,1.0,1.0,Abnorml,62,2370.0,30,41.139240506329116,11.487607656985938,97500
RL,6979,Reg,Lvl,OldTown,Duplex,1980,TA,CBlock,Y,4,0,2.0,2.0,0.0,Normal,30,2112.0,30,68.18181818181819,11.877568578558138,144000
RL,9830,IR1,Lvl,NAmes,1Fam,2006,Gd,CBlock,Y,7,1,2.0,2.0,0.0,Normal,51,2350.0,35,68.93617021276596,11.99535161421452,162000
RL,8064,Reg,Lvl,NAmes,1Fam,2004,TA,CBlock,Y,5,0,1.0,2.0,0.0,Normal,62,2040.0,48,64.70588235294117,11.790557201568507,132000
RL,7500,Reg,Lvl,NAmes,1Fam,1994,TA,CBlock,Y,6,0,1.0,2.0,1.0,Normal,51,2492.0,35,61.79775280898876,11.944707881395766,154000
RL,7200,Reg,Lvl,NAmes,1Fam,2000,TA,CBlock,Y,5,0,2.0,1.0,1.0,Normal,59,1800.0,35,74.88888888888889,11.811547477460344,134800
RL,10000,IR1,Lvl,NAmes,1Fam,1962,TA,CBlock,Y,5,0,2.0,1.0,1.0,Normal,48,2232.0,36,71.68458781362007,11.982929094215963,160000
RL,7635,IR1,Lvl,NAmes,1Fam,1960,TA,CBlock,Y,6,0,2.0,1.0,1.0,Normal,50,2350.0,30,62.97872340425532,11.904967552746252,148000
RL,9760,Reg,Lvl,NAmes,1Fam,1984,TA,CBlock,Y,7,1,2.0,2.0,0.0,Normal,47,2790.0,42,68.81720430107526,12.165250651009918,192000
RL,7700,Reg,Lvl,NAmes,1Fam,1966,TA,CBlock,Y,7,1,2.0,1.0,1.0,Normal,44,2595.0,30,59.73025048169557,11.951180395901384,155000
RM,4800,Reg,Lvl,OldTown,1Fam,1954,TA,PConc,Y,9,2,1.0,2.0,0.0,Abnorml,110,2553.0,20,31.492361927144536,11.294769455167058,80400
RM,8800,Reg,Lvl,OldTown,1Fam,2004,TA,BrkTil,Y,7,0,0.0,1.0,0.0,Normal,100,1716.0,28,56.235431235431236,11.477298287327077,96500
RM,4485,Reg,Lvl,OldTown,1Fam,1950,TA,PConc,Y,5,1,0.0,2.0,0.0,Normal,90,1872.0,35,58.493589743589745,11.603679828238693,109500
RM,8960,Reg,Lvl,OldTown,1Fam,1950,TA,CBlock,Y,5,1,2.0,1.0,0.0,Normal,83,2036.0,30,56.483300589390964,11.652687407345388,115000
RM,5805,Reg,Bnk,OldTown,1Fam,1957,TA,CBlock,Y,6,0,2.0,2.0,1.0,Normal,53,2694.0,35,53.080920564216775,11.870599909242044,143000
RM,4608,Reg,Lvl,OldTown,1Fam,1950,Gd,CBlock,Y,4,0,1.0,1.0,0.0,Normal,65,1494.0,24,53.5475234270415,11.289781913656018,80000
RM,7200,Reg,Lvl,OldTown,1Fam,1992,Gd,CBlock,Y,4,2,1.0,2.0,0.0,Abnorml,70,1592.0,35,74.74874371859296,11.686878772093667,119000
RM,5500,Reg,Lvl,OldTown,1Fam,2001,TA,BrkTil,Y,6,0,2.0,2.0,0.0,Normal,81,2242.0,35,57.983942908117754,11.77528972943772,130000
RM,6900,Reg,Lvl,OldTown,1Fam,2000,TA,PConc,Y,6,0,1.0,1.0,0.0,Normal,72,2078.0,42,57.26660250240616,11.686878772093667,119000
RM,11851,Reg,Lvl,OldTown,1Fam,2009,Gd,BrkTil,Y,7,1,1.0,1.0,0.0,Normal,62,2660.0,35,48.49624060150376,11.76756768334381,129000
RM,8239,Reg,Lvl,OldTown,1Fam,1962,TA,BrkTil,Y,6,0,1.0,1.0,0.0,Normal,90,2253.0,30,44.38526409232135,11.512925464970229,100000
RM,8520,Reg,Lvl,OldTown,1Fam,2003,Gd,BrkTil,Y,5,0,2.0,1.0,0.0,Normal,82,1344.0,48,78.79464285714286,11.570250531589497,105900
RM,10800,Reg,Lvl,OldTown,1Fam,1950,Gd,PConc,Y,7,0,1.0,3.0,0.0,Normal,95,2338.0,30,59.452523524379814,11.842229212112828,139000
RM,7407,Reg,Lvl,OldTown,1Fam,1996,TA,CBlock,Y,6,0,2.0,2.0,0.0,Normal,53,2148.0,42,69.6927374301676,11.91638857040772,149700
RM,7740,Reg,Lvl,OldTown,1Fam,1950,TA,CBlock,Y,6,0,2.0,1.0,0.0,Normal,100,1985.0,28,63.22418136020151,11.740061037553975,125500
RM,10560,Reg,Lvl,OldTown,1Fam,1994,TA,CBlock,Y,6,0,2.0,1.0,1.0,Normal,88,2208.0,42,63.74547101449275,11.854740546001937,140750
RM,5830,Reg,Lvl,BrkSide,1Fam,1997,Gd,CBlock,Y,7,0,1.0,1.0,1.0,Normal,60,2600.0,30,49.42307692307692,11.763684183317412,128500
RM,6000,Reg,Lvl,BrkSide,1Fam,1950,TA,BrkTil,Y,5,0,1.0,2.0,0.0,Abnorml,71,1740.0,42,77.01149425287356,11.805595078933049,134000
RM,6000,Reg,Lvl,BrkSide,1Fam,1950,Gd,CBlock,Y,6,2,2.0,1.0,2.0,Normal,70,1768.0,36,72.39819004524887,11.759785542901755,128000
RM,6360,Reg,Lvl,BrkSide,1Fam,1950,TA,CBlock,Y,7,2,1.0,1.0,1.0,Normal,68,2288.0,30,57.69230769230769,11.790557201568507,132000
RM,6000,Reg,Lvl,BrkSide,1Fam,1950,TA,CBlock,Y,6,0,1.0,1.0,1.0,Normal,62,2196.0,42,63.70673952641166,11.848683160653573,139900
RM,6240,Reg,Lvl,BrkSide,1Fam,1980,TA,CBlock,Y,5,0,2.0,1.0,0.0,Normal,74,1568.0,35,79.01785714285714,11.727230067617233,123900
RM,6240,Reg,Lvl,BrkSide,1Fam,1950,TA,BrkTil,Y,7,1,2.0,2.0,0.0,Normal,80,2464.0,25,56.16883116883117,11.837903322165706,138400
RM,6120,Reg,Lvl,OldTown,1Fam,1950,TA,BrkTil,Y,5,1,1.0,2.0,0.0,Normal,87,2192.0,30,49.9543795620438,11.603679828238693,109500
RM,10300,IR1,Bnk,OldTown,1Fam,1950,TA,BrkTil,Y,9,0,2.0,2.0,0.0,Normal,89,2286.0,42,61.24234470691164,11.84939770159144,140000
RM,12900,Reg,Lvl,OldTown,1Fam,2009,Gd,PConc,Y,7,0,0.0,1.0,1.0,Normal,98,2340.0,48,68.33333333333333,11.982303898822046,159900
