SID,PID,SubClass,Zoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,RoofStyle,RoofMat,Exterior1,Exterior2,MasVnrType,MasVnrArea,ExterQual,Foundation,TotalBsmtSF,Heating,Electrical,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice,LogSalePrice,HouseAge1,HouseAge2,WeatherControl,TotalBath,GarageIndex
25,527402250,20,RL,,12537,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,CBlock,1078.0,GasA,SBrkr,1078,3,3,6,Typ,1,Fa,2.0,500.0,Y,0,0,0,0,0,0,,,,0,WD ,Normal,149900,11.917723684090689,39,2,8,3.0,3.0
26,527403020,20,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,CBlock,1056.0,GasA,SBrkr,1056,3,3,6,Typ,1,Fa,1.0,304.0,Y,0,85,184,0,0,0,,,,0,WD ,Normal,142000,11.863582336583399,42,42,8,2.0,3.0
27,527404120,20,RL,70.0,8400,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,Gable,CompShg,Plywood,Plywood,,0.0,TA,CBlock,882.0,GasA,SBrkr,882,2,3,4,Typ,0,,2.0,525.0,Y,240,0,0,0,0,0,,MnPrv,,0,WD ,Normal,126000,11.744037185933616,40,40,4,2.0,3.0
28,527425090,20,RL,70.0,10500,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,CBlock,864.0,GasA,SBrkr,864,3,3,5,Typ,1,Po,0.0,0.0,Y,0,0,0,0,0,0,,,,0,ConLI,Normal,115000,11.652687407345388,39,39,4,1.0,
38,528112020,20,RL,98.0,11478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,PConc,1704.0,GasA,SBrkr,1704,3,4,7,Typ,1,Gd,3.0,772.0,Y,0,50,0,0,0,0,,,,0,WD ,Normal,306000,12.631340380934517,3,2,8,3.0,3.0
42,528120120,20,RL,90.0,11520,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,Gd,PConc,1698.0,GasA,SBrkr,1698,3,5,7,Typ,1,Gd,3.0,730.0,Y,192,74,0,0,0,0,,,,0,WD ,Normal,275000,12.524526376648708,5,5,8,2.0,3.0
43,528138020,20,RL,79.0,14122,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,PConc,1822.0,GasA,SBrkr,1822,3,5,8,Typ,1,Gd,3.0,678.0,Y,0,119,0,0,0,0,,,,0,WD ,Normal,259000,12.464583340681674,5,4,8,2.0,3.0
44,528138060,20,RL,70.0,10171,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,168.0,Gd,PConc,1517.0,GasA,SBrkr,1535,3,4,7,Typ,0,,2.0,532.0,Y,0,0,0,0,0,0,,,,0,WD ,Normal,214000,12.273731294003989,6,6,8,2.0,3.0
47,528176010,20,RL,110.0,14300,Pave,,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,Ex,PConc,2846.0,GasA,SBrkr,2696,3,5,10,Typ,2,Gd,3.0,958.0,Y,220,150,0,0,0,0,,,,0,WD ,Normal,500000,13.122363377404328,7,6,8,4.0,3.0
48,528176070,60,RL,105.0,13650,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,PConc,1671.0,GasA,SBrkr,2250,3,4,7,Typ,1,Ex,3.0,756.0,Y,238,130,0,0,0,0,,,,0,WD ,Normal,320000,12.676076274775909,8,8,8,4.0,3.0
52,528218150,20,RL,100.0,18494,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,1324.0,GasA,SBrkr,1324,3,4,6,Typ,0,,2.0,430.0,Y,36,23,0,0,0,0,,,,0,WD ,Normal,199500,12.203569515312056,5,5,8,2.0,3.0
55,528231020,80,RL,67.0,13300,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,384.0,GasA,SBrkr,1374,3,4,7,Typ,1,Gd,2.0,400.0,Y,100,0,0,0,0,0,,,,0,WD ,Normal,184500,12.125404742462718,6,6,8,4.0,3.0
56,528240070,60,RL,,7851,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,,,Gd,PConc,860.0,GasA,SBrkr,1960,4,4,8,Typ,2,TA,2.0,440.0,Y,288,48,0,0,0,0,,,,0,WD ,Normal,216500,12.285345826424681,8,8,8,4.0,3.0
57,528240130,60,RL,63.0,8577,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,847.0,GasA,SBrkr,1733,3,4,7,Typ,1,Gd,2.0,433.0,Y,144,48,0,0,0,0,,,,0,WD ,Normal,185088,12.128586666638327,6,6,8,3.0,3.0
58,528250100,80,RL,,7750,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,PConc,384.0,GasA,SBrkr,1430,3,3,7,Typ,1,TA,2.0,400.0,Y,180,0,0,0,0,0,,,,0,WD ,Normal,180000,12.100712129872347,10,10,8,3.0,3.0
59,528292020,60,RL,,9505,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,180.0,Gd,PConc,884.0,GasA,SBrkr,2035,3,4,8,Typ,1,Gd,2.0,434.0,Y,144,48,0,0,0,0,,,,0,WD ,Normal,222500,12.312682380588432,9,9,8,3.0,3.0
60,528328100,60,RL,108.0,14774,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,Gable,CompShg,VinylSd,VinylSd,BrkFace,165.0,Gd,PConc,1393.0,GasA,SBrkr,2599,4,4,10,Typ,1,TA,3.0,779.0,Y,668,30,0,0,0,0,,,,0,WD ,Normal,333168,12.716402146247475,11,11,8,3.0,3.0
62,528358010,20,RL,59.0,10593,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,7,Hip,CompShg,VinylSd,VinylSd,BrkFace,338.0,Gd,PConc,1720.0,GasA,SBrkr,1720,3,4,7,Typ,1,TA,2.0,527.0,Y,240,56,154,0,0,0,,,,0,WD ,Normal,260400,12.46997418931655,14,14,8,3.0,3.0
63,528363130,60,RL,98.0,12256,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,Gable,CompShg,HdBoard,HdBoard,BrkFace,362.0,Gd,PConc,1463.0,GasA,SBrkr,2622,3,4,9,Typ,2,TA,2.0,712.0,Y,186,32,0,0,0,0,,,,0,WD ,Normal,325000,12.691580461311874,16,15,8,4.0,3.0
64,528382020,60,RL,92.0,11764,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,Gd,PConc,1152.0,GasA,SBrkr,2270,4,4,9,Typ,1,Gd,3.0,671.0,Y,132,57,0,0,0,0,,,,0,WD ,Normal,290000,12.577636201962656,11,3,8,3.0,3.0
66,528386040,50,RL,56.0,14720,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,1.5Fin,8,Hip,CompShg,VinylSd,VinylSd,BrkFace,579.0,Gd,PConc,2033.0,GasA,SBrkr,3238,4,4,9,Typ,1,Ex,3.0,666.0,Y,283,86,0,0,0,0,,,,0,WD ,Normal,410000,12.92391243868049,15,14,8,4.0,3.0
67,528445060,20,RL,73.0,8987,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,PConc,1595.0,GasA,SBrkr,1595,2,4,6,Typ,1,Gd,3.0,880.0,Y,144,0,0,0,0,0,,,,0,WD ,Normal,221500,12.308177868467327,5,4,8,2.0,3.0
73,531367050,60,RL,76.0,10142,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,956.0,GasA,SBrkr,2084,4,4,8,Typ,0,,2.0,618.0,Y,0,45,0,0,0,0,,,,0,WD ,Normal,233000,12.358793732547838,6,6,8,4.0,3.0
74,531369060,60,RL,70.0,11920,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,122.0,Gd,PConc,831.0,GasA,SBrkr,1659,3,4,8,Typ,0,,2.0,484.0,Y,144,68,0,0,0,0,,,,0,WD ,Normal,181000,12.106252310247962,6,6,8,3.0,3.0
75,531380080,60,RL,,8880,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,948.0,GasA,SBrkr,2110,3,4,8,Typ,2,Fa,2.0,463.0,Y,0,130,0,0,0,0,,,,0,WD ,Normal,205000,12.230765258120545,16,8,8,4.0,3.0
77,531451280,60,RL,70.0,11218,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Gd,PConc,1055.0,GasA,SBrkr,1845,3,4,8,Typ,1,TA,2.0,462.0,Y,635,104,0,0,0,0,,GdPrv,Shed,400,WD ,Normal,189000,12.14950229404178,18,18,8,3.0,3.0
80,531452180,60,RL,,9453,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,RRNe,Norm,1Fam,2Story,7,Gable,CompShg,HdBoard,HdBoard,,0.0,Gd,PConc,996.0,GasA,SBrkr,1744,3,4,7,Typ,0,,2.0,457.0,Y,370,70,0,238,0,0,,,,0,WD ,Normal,194500,12.178187442040638,17,7,8,3.0,3.0
81,531453010,20,RL,81.0,9672,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,Hip,CompShg,HdBoard,Plywood,,0.0,TA,PConc,1040.0,GasA,SBrkr,1097,3,3,6,Typ,0,,2.0,480.0,Y,0,0,0,0,0,0,,GdPrv,,0,WD ,Normal,152000,11.931635799828413,26,25,4,2.0,3.0
82,531453040,60,RL,70.0,8400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,130.0,TA,CBlock,650.0,GasA,SBrkr,1564,3,3,7,Typ,1,TA,2.0,476.0,Y,0,50,0,0,204,0,,MnPrv,,0,WD ,Normal,171000,12.049418835484797,30,29,4,3.0,3.0
83,531477050,30,RH,70.0,9800,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,BrkTil,816.0,GasA,FuseA,1012,2,3,5,Typ,0,,1.0,429.0,Y,121,0,80,0,0,0,,,,0,WD ,Normal,67500,11.119882876860622,90,60,2,1.0,3.0
85,532354090,85,RL,88.0,11782,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,5,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,CBlock,1109.0,GasA,SBrkr,1155,3,4,6,Min2,0,,2.0,576.0,Y,192,0,0,0,0,0,,MnPrv,Shed,400,WD ,Normal,148000,11.904967552746252,49,15,4,2.0,3.0
86,532376160,20,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,CBlock,894.0,GasA,SBrkr,894,3,3,5,Typ,1,Gd,1.0,336.0,Y,416,144,0,0,0,0,,MnPrv,,0,WD ,Normal,138500,11.83862560460953,45,1,8,2.0,3.0
87,532377060,20,RL,,9819,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,31.0,TA,CBlock,882.0,GasA,SBrkr,900,3,3,5,Typ,0,,1.0,280.0,Y,0,0,0,0,0,0,,MnPrv,,0,WD ,Normal,122000,11.711776323715394,43,43,4,1.0,3.0
88,532377100,20,RL,75.0,7500,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,CBlock,1040.0,GasA,SBrkr,1040,3,3,5,Typ,0,,1.0,308.0,Y,0,0,220,0,0,0,,MnPrv,,0,WD ,Normal,133000,11.79810440720389,47,47,2,3.0,3.0
89,532378110,20,RL,,6897,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,CBlock,1040.0,GasA,SBrkr,1040,3,3,6,Typ,0,,1.0,260.0,Y,0,104,0,0,0,0,,,,0,WD ,Normal,127000,11.751942365440728,48,0,8,3.0,3.0
91,533130020,60,RL,107.0,10186,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,Gable,CompShg,HdBoard,HdBoard,,0.0,Gd,PConc,750.0,GasA,SBrkr,1923,3,4,8,Typ,1,TA,2.0,564.0,Y,240,39,0,0,0,0,,,,0,WD ,Normal,190000,12.154779351142624,18,18,8,4.0,3.0
92,533130130,60,RL,85.0,13143,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,Gable,CompShg,HdBoard,ImStucc,BrkFace,504.0,Gd,PConc,1231.0,GasA,SBrkr,2349,4,4,9,Typ,1,TA,3.0,762.0,Y,32,130,0,0,0,0,,,,0,WD ,Normal,362500,12.800779753276867,17,17,8,4.0,3.0
93,533130160,60,RL,88.0,11134,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,Gable,CompShg,HdBoard,HdBoard,BrkFace,180.0,Gd,PConc,1390.0,GasA,SBrkr,2225,4,4,7,Typ,1,TA,3.0,713.0,Y,198,30,0,0,0,0,,,,0,WD ,Normal,285000,12.560244459250788,18,17,8,4.0,3.0
109,533352170,60,RL,,13517,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,CBlock,725.0,GasA,SBrkr,1479,3,4,6,Typ,0,,2.0,475.0,Y,0,44,0,0,0,0,,,,0,WD ,Normal,130500,11.779128505744886,34,5,8,3.0,3.0
111,534129040,20,RL,,10456,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,120.0,TA,CBlock,1829.0,GasA,SBrkr,1829,4,3,8,Typ,0,,2.0,535.0,Y,0,76,0,0,0,0,,,,0,WD ,Normal,218500,12.294541293517781,43,43,6,3.0,3.0
112,534151175,60,RL,80.0,10791,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,PConc,1280.0,GasA,SBrkr,2495,4,4,9,Typ,1,TA,2.0,660.0,Y,224,32,0,0,0,0,,,,0,WD ,Normal,243500,12.402872221504781,17,17,8,4.0,3.0
113,534152050,20,RL,,10603,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,TA,PConc,1610.0,GasA,SBrkr,1610,3,4,6,Typ,2,TA,2.0,480.0,Y,168,68,0,0,0,0,,,,0,WD ,Normal,205000,12.230765258120545,33,9,6,3.0,3.0
114,534152070,50,RL,,18837,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1.5Fin,6,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,PConc,1224.0,GasA,SBrkr,1891,3,3,7,Typ,1,TA,2.0,678.0,Y,0,69,0,0,0,0,,,,0,WD ,Normal,212500,12.266697267346608,32,32,4,4.0,3.0
115,534152100,60,RL,80.0,10421,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,Gable,CompShg,HdBoard,HdBoard,BrkFace,42.0,TA,CBlock,980.0,GasA,SBrkr,1714,3,3,7,Typ,1,TA,2.0,496.0,Y,228,66,156,0,0,0,,MnPrv,Shed,500,WD ,Normal,196500,12.188417710291453,22,22,4,3.0,3.0
116,534176060,20,RL,78.0,9360,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,Hip,CompShg,Plywood,Plywood,,0.0,TA,CBlock,1161.0,GasA,SBrkr,1381,3,4,5,Typ,1,TA,2.0,676.0,Y,0,0,0,0,0,0,,,,0,WD ,Normal,197500,12.193493863323313,38,4,4,3.0,3.0
117,534176230,60,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,CBlock,715.0,GasA,SBrkr,1645,4,3,7,Typ,0,,2.0,441.0,Y,0,78,0,0,0,0,,GdWo,,0,WD ,Normal,171000,12.049418835484797,39,39,4,3.0,3.0
118,534202160,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,172.0,TA,CBlock,1232.0,GasA,SBrkr,1232,3,3,6,Typ,0,,2.0,490.0,Y,0,224,0,0,0,0,,,,0,WD ,Normal,142250,11.865341351988578,44,44,4,3.0,3.0
119,534251320,20,RL,,9790,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Feedr,Norm,1Fam,1Story,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,451.0,TA,CBlock,1328.0,GasA,SBrkr,1328,3,3,6,Typ,2,Gd,2.0,528.0,Y,0,26,0,0,0,0,,,,0,WD ,Normal,143000,11.870599909242044,47,47,4,3.0,3.0
120,534276360,20,RL,77.0,9320,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,Gable,CompShg,Plywood,Plywood,,0.0,TA,CBlock,950.0,GasA,SBrkr,1225,3,3,6,Typ,0,,0.0,0.0,Y,352,0,0,0,0,0,,,Shed,400,WD ,Normal,128950,11.76718001130949,51,51,2,3.0,
